MatrÌcula Total de Doctorado por Area del Conocimiento;;;;;;;;;;;AÒos 2001- 2011
;;;;;;;;;;;
AREA / A—OS;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
;;;;;;;;;;;
AGROPECUARIA Y CIENCIAS DEL MAR;19;34;72;112;187;198;228;261;289;335;360
;;;;;;;;;;;
ARTE Y ARQUITECTURA;-;-;-;8;16;23;31;54;65;54;73
;;;;;;;;;;;
CIENCIAS NATURALES Y MATEMATICAS;796;919;967;1.063;1.051;1.208;1.243;1.303;1.374;1.392;1.569
;;;;;;;;;;;
CIENCIAS SOCIALES;106;118;120;84;137;164;171;227;225;270;343
;;;;;;;;;;;
DERECHO;-;13;29;37;60;63;75;88;94;95;98
;;;;;;;;;;;
HUMANIDADES;159;189;249;272;333;426;392;446;491;527;595
;;;;;;;;;;;
EDUCACION;92;128;122;172;162;160;160;110;109;131;151
;;;;;;;;;;;
TECNOLOGIA;153;168;205;227;271;359;427;448;493;566;613
;;;;;;;;;;;
SALUD;71;32;166;197;237;258;288;308;303;335;356
;;;;;;;;;;;
;;;;;;;;;;;
T O T A L E S;1.396;1.601;1.930;2.172;2.454;2.859;3.015;3.245;3.443;3.705;4.158
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Fuente: Anuario EstadÌstico 2011, Consejo de Rectores de las Universidades Chilenas;;;;;;;;;;;
